Rank,Company,Symbol,Market Cap,Sector,Industry,Market_Cap,Revenue
1,Samsung,005930.KS,$260.13 B,Technology,Consumer Electronics,260.13,292.861102784512
2,SK Hynix,000660.KS,$84.53 B,Technology,Semiconductors,84.53,49.224532099072
3,LG Energy Solution,373220.KS,$65.94 B,Industrials,Electrical Equipment & Parts,65.94,28.515445506048
4,Samsung Biologics,207940.KS,$48.89 B,Healthcare,Biotechnology,48.89,4.21128962048
5,Hyundai,HYMTF,$37.04 B,Consumer Cyclical,Auto Manufacturers,37.04,162.7
6,Celltrion,068270.KS,$27.69 B,Healthcare,Biotechnology,27.69,2.666610819072
7,Kia,000270.KS,$27.05 B,Consumer Cyclical,Auto Manufacturers,27.05,103.654304514048
8,KB Financial Group,KB,$22.24 B,Financial Services,Banks - Regional,22.24,13.61226235904
9,Naver,035420.KS,$21.78 B,Communication Services,Internet Content & Information,21.78,10.118838091776
10,Shinhan Financial Group,SHG,$17.58 B,Financial Services,Banks - Regional,17.58,14.690399813632
11,Korea Zinc,010130.KS,$17.22 B,Basic Materials,Other Industrial Metals & Mining,17.22,10.141305929728
12,Hyundai Mobis,012330.KS,$15.51 B,Consumer Cyclical,Auto Parts,15.51,57.426975916032
13,POSCO,PKX,$14.13 B,Basic Materials,Steel,14.13,73.547196137472
14,LG Chem,051910.KS,$14.10 B,Basic Materials,Chemicals,14.1,50.538733371392
15,Kakao,035720.KS,$14.03 B,Communication Services,Internet Content & Information,14.03,8.003226435584
16,Samsung Life Insurance,032830.KS,$12.99 B,Financial Services,Insurance - Life,12.99,29.318285623296
17,SK Innovation,096775.KS,$12.41 B,Energy,Oil & Gas Refining & Marketing,12.41,77.072609312768
18,Hana Financial Group,086790.KS,$11.82 B,Financial Services,Banks - Regional,11.82,10.180906450944
19,Samsung SDI,006405.KS,$11.77 B,Industrials,Electrical Equipment & Parts,11.77,21.093901402112
20,Alteogen,196170.KQ,$11.73 B,Healthcare,Biotechnology,11.73,0.090787643392
21,HMM,011200.KS,$11.53 B,Industrials,Marine Shipping,11.53,9.182716624896
